Attraction,Themes,Tour Destination,City
Museum of the History of Science and Technology,"Museum,",Museum of the History of Science and Technology,Istanbul
Museum of the Jewish Diaspora (Beit Hatefutsot),"Museum,",Museum of the Jewish Diaspora (Beit Hatefutsot),Tel Aviv
Museum of Warsaw,"Museum,",Museum of Warsaw,Warsaw
Museum of Yachting,"Museum,",Museum of Yachting,Newport
Muttrah Fish Market,,Muttrah Fish Market,Muscat
Mycenae,"Museum,",Mycenae,Peloponnese Peninsula
Mykonos Windmills,"Museum,",Mykonos Windmills,Mykonos
Myriad Botanical Gardens,,Myriad Botanical Gardens,Oklahoma City
Myrtos Beach,,Myrtos Beach,Cephalonia
Mystic Seaport,"Museum,",Mystic Seaport,Hartford
Nagasaki,"Museum,",Nagasaki,Fukuoka
Nairobi National Museum,"Museum,",Nairobi National Museum,Nairobi
Nairobi National Park and Sheldrick Elephant Orphanage,"National Park,Outdoor Activities,",Nairobi National Park and Sheldrick Elephant Orphanage,Nairobi
Nambung National Park,"National Park,",Nambung National Park,Perth
Namche Bazaar,"Museum,National Park,Outdoor Activities,",Namche Bazaar,Himalayas
Namsan Park,"Outdoor Activities,",Namsan Park,Seoul
Nantes,"Museum,",Nantes,Brittany
Nantucket,"Museum,Outdoor Activities,",Nantucket,Cape Cod
Napali Coast State Wilderness Park,"Water Sports,",Napali Coast State Wilderness Park,Kauai
Nara,"World Heritage Site,",Nara,Kyoto
Natal Sharks Board,,Natal Sharks Board,Durban
Natchez Churches,,Natchez Churches,Natchez
Natchez Historic Houses,"National Park,",Natchez Historic Houses,Natchez
Natchez Trace Parkway,"National Park,",Natchez Trace Parkway,Natchez
Natchez Under-the-Hill,"Water Sports,",Natchez Under-the-Hill,Natchez
National Aquarium,,National Aquarium,Baltimore
National Aquarium,,National Aquarium,Santo Domingo
National Archaeological Museum,"Museum,",National Archaeological Museum,Athens
National Archaeological Museum of Spain,"Museum,",National Archaeological Museum of Spain,Madrid
National Archives,"Museum,",National Archives,Washington DC
National Aviary,,National Aviary,Pittsburgh
National Botanic Garden,,National Botanic Garden,Windhoek
National Botanical Gardens,,National Botanical Gardens,Mahe
National Cowboy and Western Heritage Museum,"Museum,",National Cowboy and Western Heritage Museum,Oklahoma City
National Ethnographic Museum,"Museum,",National Ethnographic Museum,Sofia
National Gallery,"Museum,",National Gallery,London
National Gallery,"Museum,",National Gallery,Kingston
National Gallery of Art,"Museum,",National Gallery of Art,Washington DC
National Gallery of Australia,"Museum,",National Gallery of Australia,Canberra
National Gallery of Scotland,"Museum,",National Gallery of Scotland,Edinburgh
National Gardens,"Museum,",National Gardens,Athens
National History Museum,"Museum,",National History Museum,Montevideo
National History Museum,"Museum,",National History Museum,Bucharest
National Key Deer Refuge,,National Key Deer Refuge,Florida Keys
National Library of Ireland,"Museum,",National Library of Ireland,Dublin
National Mall,"Museum,",National Mall,Washington DC
National Marine Park,,National Marine Park,Skopelos
National Maritime Museum,"Museum,",National Maritime Museum,Amsterdam
National Monument of Indonesia,"Museum,",National Monument of Indonesia,Jakarta
National Museum,"Museum,",National Museum,Phnom Penh
National Museum,"Museum,",National Museum,Lagos
National Museum,"Museum,",National Museum,Dar Es Salaam
National Museum (Muzium Negara),"Museum,",National Museum (Muzium Negara),Kuala Lumpur
National Museum and Art Gallery,"Museum,World Heritage Site,",National Museum and Art Gallery,Gaborone
National Museum of American Illustration,"Museum,",National Museum of American Illustration,Newport
National Museum of Archaeology,"Museum,",National Museum of Archaeology,Valletta
National Museum of Beirut,"Museum,",National Museum of Beirut,Beirut
National Museum of Ethiopia,"Museum,",National Museum of Ethiopia,Addis Ababa
National Museum of Finland,"Museum,World Heritage Site,",National Museum of Finland,Helsinki
National Museum of Funeral History,"Museum,",National Museum of Funeral History,Houston
National Museum of Naval Aviation,"Museum,",National Museum of Naval Aviation,Pensacola
National Museum of Nicaragua,"Museum,",National Museum of Nicaragua,Managua
National Museum of Serbia,"Museum,",National Museum of Serbia,Belgrade
National Museum of Slovenia,"Museum,",National Museum of Slovenia,Ljubljana
National Museum of the Philippines,"Museum,",National Museum of the Philippines,Manila
National Museums of Ireland,"Museum,",National Museums of Ireland,Dublin
National Palace Museum,"Museum,",National Palace Museum,Taipei
National Parks,"National Park,Outdoor Activities,World Heritage Site,",National Parks,Victoria Falls
National Zoo,,National Zoo,Washington DC
National Zoological Gardens of South Africa,,National Zoological Gardens of South Africa,Pretoria
Natural History Museum,"Museum,",Natural History Museum,Saint-Denis
Natural History Museum,"Museum,",Natural History Museum,Ankara
Natural History Museum,"Museum,",Natural History Museum,Vienna
Natural History Museum,"Museum,",Natural History Museum,London
Nature Museum,"Museum,",Nature Museum,Berlin
Natures Valley,"National Park,Outdoor Activities,",Natures Valley,Garden Route
Naveta des Tudons,,Naveta des Tudons,Minorca
Navy Pier,"Museum,",Navy Pier,Chicago
Nazareth,,Nazareth,Galilee
NCAA Hall of Champions,"Museum,",NCAA Hall of Champions,Indianapolis
Nehru Centre,"Museum,",Nehru Centre,Mumbai
Neptunes Grotto (Grotta di Nettuno),,Neptunes Grotto (Grotta di Nettuno),Sardinia
Nerja,,Nerja,Costa del Sol
Neuschwanstein Castle,,Neuschwanstein Castle,The Romantic Road
Nevsky Prospekt,,Nevsky Prospekt,St Petersburg
New England,"Museum,National Park,Outdoor Activities,",New England,Sydney
New England Aquarium,,New England Aquarium,Boston
New Mexico Museum of Art,"Museum,",New Mexico Museum of Art,Santa Fe
New Mexico Museum of Natural History and Science,"Museum,",New Mexico Museum of Natural History and Science,Albuquerque
New Orleans Museum of Art,"Museum,",New Orleans Museum of Art,New Orleans
Newport Mansions,,Newport Mansions,Newport
Newtown Cultural Precinct,"Museum,",Newtown Cultural Precinct,Johannesburg
Ngong Ping 360,,Ngong Ping 360,Hong Kong City
Ngorongoro Conservation Area,"World Heritage Site,",Ngorongoro Conservation Area,National Parks and Reserves
Ngwe Saung,,Ngwe Saung,Yangon
Niagara Falls,"Museum,",Niagara Falls,Western New York State
Niagara Falls,"Museum,",Niagara Falls,Toronto
Nias Island,"Water Sports,",Nias Island,Sumatra
Niassa Game Reserve,"National Park,Outdoor Activities,",Niassa Game Reserve,Pemba and Northern Mozambique
Nicaraguas Volcanoes,"National Park,Outdoor Activities,",Nicaraguas Volcanoes,Managua
Niederdorf,,Niederdorf,Zurich
Nieu-Bethesda,"Museum,",Nieu-Bethesda,Port Elizabeth
Nizwa Fort,,Nizwa Fort,Muscat
Nkhata Bay,"Outdoor Activities,Water Sports,",Nkhata Bay,Lake Malawi
Nkhotakota,"Water Sports,",Nkhotakota,Lake Malawi
Noboribetsu,"National Park,Outdoor Activities,",Noboribetsu,Sapporo
Norfolk Broads,,Norfolk Broads,East Anglia
North Beach,,North Beach,San Francisco
North Carolina Museum of Art,"Museum,",North Carolina Museum of Art,Raleigh
North Carolina Museum of Natural Sciences,"Museum,",North Carolina Museum of Natural Sciences,Raleigh
Northern Beaches of Zanzibar,"Water Sports,",Northern Beaches of Zanzibar,Zanzibar
Northern Highlands,,Northern Highlands,The Highlands
Norton Museum of Art,"Museum,",Norton Museum of Art,Gold Coast
Norwich,"Museum,",Norwich,East Anglia
Notre-Dame,"Museum,",Notre-Dame,Paris
Notre-Dame de la Treille Cathedral,,Notre-Dame de la Treille Cathedral,Lille
Nubia Museum,"Museum,World Heritage Site,",Nubia Museum,The Nile Valley
Nueve de Julio Avenue,,Nueve de Julio Avenue,Buenos Aires
Nuraghe,"World Heritage Site,",Nuraghe,Sardinia
Nyhavn Canal,,Nyhavn Canal,Copenhagen
Nymphenburg Palace,"Museum,",Nymphenburg Palace,Munich
Nymphes,,Nymphes,Corfu
Oahu Beaches,"Water Sports,",Oahu Beaches,Oahu
Oak Mountain State Park,"Outdoor Activities,",Oak Mountain State Park,Birmingham Alabama
Oak Ridge Cemetery,,Oak Ridge Cemetery,Springfield
Oakland Zoo,,Oakland Zoo,San Francisco
Ocean Park,,Ocean Park,Hong Kong City
Oceanario de Lisboa (Lisbon Oceanarium),,Oceanario de Lisboa (Lisbon Oceanarium),Lisbon
Oceanographic Museum and Aquarium,"Museum,",Oceanographic Museum and Aquarium,Monte-Carlo
Odense,"Museum,",Odense,Copenhagen
Okefenokee Swamp,,Okefenokee Swamp,Savannah
Oklahoma City National Memorial and Museum,"Museum,",Oklahoma City National Memorial and Museum,Oklahoma City
Oklahoma City Zoo,"Museum,Water Sports,",Oklahoma City Zoo,Oklahoma City
Old and New State Gallery,"Museum,",Old and New State Gallery,Stuttgart
Old Cairo,,Old Cairo,Cairo
Old Capitol Museum,"Museum,",Old Capitol Museum,Jackson Mississippi
Old City Gaol,,Old City Gaol,Cork
Old City Walls,,Old City Walls,Nicosia
Old Dispensary (Aga Khan Cultural Centre),"Museum,",Old Dispensary (Aga Khan Cultural Centre),Zanzibar
Old Fort,,Old Fort,Zanzibar
Old Fort William,,Old Fort William,Lake Superior and Thunder Bay
Old Goa,"World Heritage Site,",Old Goa,Goa
Old Melbourne Gaol,,Old Melbourne Gaol,Melbourne
Old Muttrah Souk,,Old Muttrah Souk,Muscat
Old Orchard Beach,"Outdoor Activities,Water Sports,",Old Orchard Beach,Portland
Old Port of Montreal,,Old Port of Montreal,Quebec City
Old Quarter,,Old Quarter,Hanoi
Old San Juan,,Old San Juan,San Juan
Old State Capitol,"Museum,",Old State Capitol,Baton Rouge
Old State House,"Museum,",Old State House,Hartford
Old Town (Starego Miasta),"Museum,",Old Town (Starego Miasta),Warsaw
Old Town Hall,"Museum,",Old Town Hall,Bratislava
Old Town Square,"Museum,Water Sports,",Old Town Square,Prague
Old Trafford,"Museum,",Old Trafford,Manchester
Oliewenhuis Art Gallery,"Museum,",Oliewenhuis Art Gallery,Bloemfontein
Olympia,"Museum,",Olympia,Peloponnese Peninsula
Olympiapark,"Museum,",Olympiapark,Munich
Olympic National Park,"Outdoor Activities,Water Sports,",Olympic National Park,Seattle
Olympic Park,,Olympic Park,Montreal
Omaha Childrens Museum,"Museum,",Omaha Childrens Museum,Omaha
Omaha Zoo,,Omaha Zoo,Omaha
Ometepe Island,"Outdoor Activities,Water Sports,",Ometepe Island,Managua
One Pillar Pagoda,,One Pillar Pagoda,Hanoi
Open Air Ethnographic Museum,"Museum,",Open Air Ethnographic Museum,Riga
Orange,,Orange,Provence
Orchard Road,,Orchard Road,Singapore
Oregon Zoo,,Oregon Zoo,Portland Oregon
Orlando Museum of Art,"Museum,",Orlando Museum of Art,Orlando
Orlando Odditorium,,Orlando Odditorium,Orlando
Orléans,,Orléans,Loire Valley
Orto Botanico di Brera,,Orto Botanico di Brera,Milan
Ortygia,,Ortygia,Sicily
Orvieto,"Museum,",Orvieto,Umbria
Osun-Osogbo,"World Heritage Site,",Osun-Osogbo,Lagos
Otavalo,,Otavalo,Quito
Othello Tunnels,"Outdoor Activities,",Othello Tunnels,Vancouver
Oualie Beach,"Outdoor Activities,Water Sports,",Oualie Beach,Nevis
Ouirgane,"Outdoor Activities,",Ouirgane,Marrakech
Oukaimeden,,Oukaimeden,Marrakech
Our Dynamic Earth,,Our Dynamic Earth,Edinburgh
Our Lady of Lebanon,,Our Lady of Lebanon,Beirut
Outback Ballooning,"Sky Activities,",Outback Ballooning,Alice Springs
Oxford Botanic Gardens,,Oxford Botanic Gardens,Oxford
Paarl,,Paarl,Cape Winelands
Pacific Tsunami Museum,"Museum,",Pacific Tsunami Museum,Big Island
Padang,"Museum,Water Sports,",Padang,Sumatra
Padua (Padova),,Padua (Padova),Venice
Paestum,"Museum,",Paestum,Naples
Pai,,Pai,Chiang Mai
Pak Ou Caves,,Pak Ou Caves,Luang Prabang
Palace Museum,"Museum,",Palace Museum,Zanzibar
Palace of Governors,"Museum,",Palace of Governors,Santa Fe
Palace of Holyrood House,"Museum,",Palace of Holyrood House,Edinburgh
Palace of Parliament,"Sky Activities,",Palace of Parliament,Bucharest
Palace of the Grandmaster,,Palace of the Grandmaster,Valletta
Palace of the Winds (Hawa Mahal),,Palace of the Winds (Hawa Mahal),Jaipur
Palace Square,"Museum,",Palace Square,St Petersburg
Palace Square (Schlossplatz),,Palace Square (Schlossplatz),Stuttgart
Palais des Beaux-Arts,"Museum,",Palais des Beaux-Arts,Lille
Palais des Nations (United Nations),,Palais des Nations (United Nations),Geneva
Palais des Papes,,Palais des Papes,Avignon
Palais du Prince,"Museum,",Palais du Prince,Monte-Carlo
Palais Longchamp,"Museum,",Palais Longchamp,Marseille
Palais Royal,,Palais Royal,Brussels
Palau de lAlmudaina,,Palau de lAlmudaina,Palma de Mallorca
Palawan,,Palawan,Manila
Palazzo Mirto,,Palazzo Mirto,Sicily
Palazzo Pitti and Giardino Boboli,"Museum,",Palazzo Pitti and Giardino Boboli,Florence
Palazzo Tursi,"Museum,",Palazzo Tursi,Genoa
Palenque,"Museum,",Palenque,San Cristobal de las Casas
Paleokastritsa,"Museum,",Paleokastritsa,Corfu
Palkhor Monastery,,Palkhor Monastery,Tibet
Palmitos Park,,Palmitos Park,Gran Canaria
Palo Duro Canyon,,Palo Duro Canyon,Amarillo
Palolem,,Palolem,Goa
Pamplona,,Pamplona,Bilbao
Pamukkale,,Pamukkale,Aegean Coast
Panajachel,,Panajachel,Lake Atitlan
Panaji,"World Heritage Site,",Panaji,Goa
Panama City,"Museum,Outdoor Activities,",Panama City,Pensacola
Pantheon,,Pantheon,Rome
Paradise Island,"Water Sports,",Paradise Island,The Islands
Paradise Peak,,Paradise Peak,Marigot
Paramount Canadas Wonderland,,Paramount Canadas Wonderland,Toronto
Parc Asterix,,Parc Asterix,Paris
Parc de La Ciutadella,"Museum,",Parc de La Ciutadella,Barcelona
Park City,,Park City,Salt Lake City
Parliament Buildings,,Parliament Buildings,Quebec City
Parliament Buildings,,Parliament Buildings,Budapest
Parliament Hill,,Parliament Hill,Ottawa
Paronella Park,,Paronella Park,Cairns
Parque de Atracciones,,Parque de Atracciones,Madrid
Parque de los Cocodrilo,,Parque de los Cocodrilo,Gran Canaria
Parque del Buen Retiro,,Parque del Buen Retiro,Madrid
Parque Nacional Alejandro de Humboldt,"World Heritage Site,",Parque Nacional Alejandro de Humboldt,Santiago de Cuba
Parque Nacional Chiloé,"National Park,Outdoor Activities,",Parque Nacional Chiloé,Isla Grande de Chiloe
Parque Nacional Laguna San Rafael,"National Park,Water Sports,World Heritage Site,",Parque Nacional Laguna San Rafael,Chilean Patagonia
Parque Nacional Torres del Paine,"National Park,Outdoor Activities,Water Sports,World Heritage Site,",Parque Nacional Torres del Paine,Chilean Patagonia
Parque Natural de Bardenas Reales,"World Heritage Site,",Parque Natural de Bardenas Reales,Barcelona
Parthenon,"Museum,",Parthenon,Nashville
Pashupatinath Temple,"World Heritage Site,",Pashupatinath Temple,Kathmandu
Patagonia,"National Park,Outdoor Activities,",Patagonia,Southern Argentina
Patan,"Museum,World Heritage Site,",Patan,Kathmandu
Patek Philippe Museum,,Patek Philippe Museum,Geneva
Paternoster,"Outdoor Activities,Water Sports,",Paternoster,West Coast
Patmos,"World Heritage Site,",Patmos,Kos
Pau,"Museum,",Pau,Basque Country
Pavlovsk Palace,"Museum,",Pavlovsk Palace,St Petersburg
Peabody Museum of Natural History,"Museum,",Peabody Museum of Natural History,New Haven
Peace Memorial Museum,"Museum,",Peace Memorial Museum,Zanzibar
Peace Memorial Park,"Museum,World Heritage Site,",Peace Memorial Park,Hiroshima
Peace Palace,"Museum,",Peace Palace,Amsterdam
Peach Tree Pottery,,Peach Tree Pottery,Los Angeles
Peak District,"Museum,National Park,Outdoor Activities,Sky Activities,",Peak District,Manchester
Pearl District,"Museum,",Pearl District,Portland Oregon
Pearl Museum,"Museum,",Pearl Museum,Tahiti
Pedro St James Castle,,Pedro St James Castle,Grand Cayman
Peggy Guggenheim Collection,"Museum,",Peggy Guggenheim Collection,Venice
Peles Castle,,Peles Castle,Transylvania
Pemba Island,,Pemba Island,Zanzibar
Pembrokeshire Coast National Park,"National Park,Outdoor Activities,Water Sports,",Pembrokeshire Coast National Park,Cardiff
Penzance,,Penzance,Southwest England
Perdana Botanical Gardens,,Perdana Botanical Gardens,Kuala Lumpur
Pergamon Museum,"Museum,",Pergamon Museum,Berlin
Perhentian Islands,"Water Sports,",Perhentian Islands,Islands
Perito Moreno Glacier,"National Park,Outdoor Activities,World Heritage Site,",Perito Moreno Glacier,Southern Argentina
Periyar Wildlife Sanctuary,"Outdoor Activities,",Periyar Wildlife Sanctuary,Kerala
Petaloudes - Valley of the Butterflies,"Museum,",Petaloudes - Valley of the Butterflies,Rhodes
Peter and Paul Fortress,"Museum,",Peter and Paul Fortress,St Petersburg
Petit Palais,"Museum,",Petit Palais,Avignon
Petrified Forest National Park,"National Park,Outdoor Activities,",Petrified Forest National Park,Phoenix
Petrified Forest of Sigri,"Museum,",Petrified Forest of Sigri,Lesvos
Petrin Hill,,Petrin Hill,Prague
Petroglyph National Monument,,Petroglyph National Monument,Albuquerque
Petronas Towers,,Petronas Towers,Kuala Lumpur
Pettah,"Museum,",Pettah,Colombo
Pforzheim,"Museum,",Pforzheim,The Black Forest
Phaistos,,Phaistos,Crete
Pham Ngu Lau,,Pham Ngu Lau,Ho Chi Minh City
Phang Nga Bay,"Water Sports,",Phang Nga Bay,Phuket
Philabaum Glass,"Museum,",Philabaum Glass,Tucson
Philadelphia Museum of Art,"Museum,",Philadelphia Museum of Art,Philadelphia
Philadelphia Zoo,,Philadelphia Zoo,Philadelphia
Philippine Eagle Centre,,Philippine Eagle Centre,Davao
Philipsburg Beaches,"Water Sports,",Philipsburg Beaches,Philipsburg
Phillip Island Circuit,,Phillip Island Circuit,Phillip Island and Gippsland
Phou Si,"Food Tour,",Phou Si,Luang Prabang
Phuket Beaches,"Water Sports,",Phuket Beaches,Phuket
Piazza del Duomo (Cathedral Square),"Museum,",Piazza del Duomo (Cathedral Square),Florence
Piazza delle Erbe,,Piazza delle Erbe,Verona
Picasso Museum,"Museum,",Picasso Museum,Barcelona
Piccadilly Circus,,Piccadilly Circus,London
Pico,"Museum,",Pico,The Azores
Pictograph Cave State Park,,Pictograph Cave State Park,Billings
Piestany,"Outdoor Activities,",Piestany,Bratislava
Pigeon Island,"National Park,",Pigeon Island,Castries
Pigeon Key,"Museum,",Pigeon Key,Florida Keys
Pike Place Market,,Pike Place Market,Seattle
Pilgrims Rest,"Museum,",Pilgrims Rest,Mpumalanga
Pilsen,"Museum,",Pilsen,Prague
Pinacoteca di Brera,,Pinacoteca di Brera,Milan
Pinel Island,,Pinel Island,Marigot
Pink Palace Museum,"Museum,",Pink Palace Museum,Memphis
Pinnacles National Monument,"Outdoor Activities,",Pinnacles National Monument,Central Coast
Pinnawela Elephant Orphanage,,Pinnawela Elephant Orphanage,Colombo
Pinney’s Beach,"Water Sports,",Pinney’s Beach,Nevis
Pioneer Memorial Museum,"Museum,",Pioneer Memorial Museum,Salt Lake City
Pioneer Square,"Museum,",Pioneer Square,Seattle
Piraeus,"Museum,",Piraeus,Athens
Piramides de Guimar,"Museum,",Piramides de Guimar,Tenerife
Pirin National Park,"National Park,Outdoor Activities,World Heritage Site,",Pirin National Park,Mountains
Pisa,"Museum,",Pisa,Tuscany
Pisco,"Museum,",Pisco,Lima
Pitsilia,"World Heritage Site,",Pitsilia,Limassol
Piwnica pod Baranami,,Piwnica pod Baranami,Krakow
Place Neuve,"Museum,",Place Neuve,Geneva
Place Royale,"Museum,",Place Royale,Quebec City
Plain of Jars (Phonsavan),,Plain of Jars (Phonsavan),Luang Prabang
Plaka,,Plaka,Athens
Plantations,,Plantations,Charleston
Planten un Blomen,,Planten un Blomen,Hamburg
Playas del Este,,Playas del Este,Havana
Plaza de Armas,,Plaza de Armas,Santiago
Plaza de Armas,,Plaza de Armas,Cuzco
Plaza de la Cultura,"Museum,",Plaza de la Cultura,Santo Domingo
Plaza de la Independencia,,Plaza de la Independencia,Quito
Plaza de la Revolución,"Museum,",Plaza de la Revolución,Havana
Plaza de la Virgen,,Plaza de la Virgen,Valencia
Plaza Dorrego,"Museum,",Plaza Dorrego,Buenos Aires
Plaza Independencia,,Plaza Independencia,Montevideo
Plaza Mayor,,Plaza Mayor,Madrid
Plaza Mayor and Plaza San Martin,"Museum,",Plaza Mayor and Plaza San Martin,Lima
Plaza San Francisco,,Plaza San Francisco,Quito
Please Touch Museum,"Museum,",Please Touch Museum,Philadelphia
Plitvice Lakes National Park,"National Park,World Heritage Site,",Plitvice Lakes National Park,Zagreb
PNC Park,,PNC Park,Pittsburgh
Po Delta Natural Park,"National Park,",Po Delta Natural Park,Venice
Poble Espanyol,"Museum,",Poble Espanyol,Barcelona
Point State Park,"Museum,Outdoor Activities,",Point State Park,Pittsburgh
Poklonnaya Hill,"Museum,",Poklonnaya Hill,Moscow
Polana Hotel,,Polana Hotel,Maputo
Polaria,"Museum,",Polaria,Tromso
Polish Poster Gallery,"Museum,",Polish Poster Gallery,Warsaw
Pollensa,,Pollensa,Mallorca
Polybahn and Rigiblick Funiculars,,Polybahn and Rigiblick Funiculars,Zurich
Polynesian Cultural Centre,,Polynesian Cultural Centre,Oahu
Pompeii,,Pompeii,Naples
Pompidou Centre,"Museum,",Pompidou Centre,Paris
Ponce Art Museum,"Museum,",Ponce Art Museum,Ponce
Pont dAvignon,,Pont dAvignon,Avignon
Ponta dOuro,"Water Sports,",Ponta dOuro,Maputo
Ponte Scaligero,,Ponte Scaligero,Verona
Ponte Vecchio,,Ponte Vecchio,Florence
Popeye Village,"Museum,",Popeye Village,Valletta
Poros,"Museum,",Poros,Saronic Gulf Islands
Porsche Museum,"Museum,",Porsche Museum,Stuttgart
Port Antonio Beaches,"Water Sports,",Port Antonio Beaches,Port Antonio
Port Arthur,"Museum,",Port Arthur,Hobart
Port Louis Central Market,,Port Louis Central Market,Port Louis
Port Royal,"Museum,",Port Royal,Kingston
Port St Johns,"Water Sports,",Port St Johns,Transkei
PortAventura Theme Park,,PortAventura Theme Park,Costa Dorada
Portland Downtown Arts District,"Museum,",Portland Downtown Arts District,Portland
Portland Head Light,"Museum,",Portland Head Light,Portland
Portmeirion,,Portmeirion,Northern Wales
Porto,"Outdoor Activities,World Heritage Site,",Porto,Corsica
Porto Santo,,Porto Santo,Madeira
Porto-Vecchio,"Museum,",Porto-Vecchio,Corsica
Portofino,,Portofino,Milan
Postojna Cave,,Postojna Cave,Ljubljana
Potala Palace,,Potala Palace,Tibet
Potami Waterfalls,,Potami Waterfalls,Samos
Potsdamer Platz,"Museum,",Potsdamer Platz,Berlin
Prague Astronomical Clock,,Prague Astronomical Clock,Prague
Prague Toy Museum,"Museum,",Prague Toy Museum,Prague
Prambanan Temple Complex,"World Heritage Site,",Prambanan Temple Complex,Yogyakarta
Preservation Hall,,Preservation Hall,New Orleans
President Brand Street,"Museum,",President Brand Street,Bloemfontein
Pretoria National Botanical Garden,,Pretoria National Botanical Garden,Pretoria
Prince of Wales Museum,"Museum,",Prince of Wales Museum,Mumbai
Prinos Streetmarket,,Prinos Streetmarket,Thassos
Progressive Field,,Progressive Field,Cleveland
Provost Dungeon and Old Exchange Building,"Museum,",Provost Dungeon and Old Exchange Building,Charleston
Psar Chaa - Old Market,,Psar Chaa - Old Market,Siem Reap
Public Parks,"Museum,Outdoor Activities,",Public Parks,Geneva
Pueblo Canario,"Museum,",Pueblo Canario,Gran Canaria
Pueblo Grande Museum and Archaeological Park,"Museum,Outdoor Activities,",Pueblo Grande Museum and Archaeological Park,Phoenix
Puerta del Sol,,Puerta del Sol,Madrid
Puerto del Rosario,"Museum,Water Sports,",Puerto del Rosario,Fuerteventura
Puerto Galera,"Outdoor Activities,Water Sports,World Heritage Site,",Puerto Galera,Manila
Puerto Plata,,Puerto Plata,Amber Coast
Puerto Princesa Subterranean River National Park,"National Park,World Heritage Site,",Puerto Princesa Subterranean River National Park,Manila
Puerto Viejo de Talamanca,"National Park,Outdoor Activities,Water Sports,",Puerto Viejo de Talamanca,The Caribbean Lowlands
Puffing Billy Railway,,Puffing Billy Railway,Melbourne
Puget Sound Islands,"Museum,Outdoor Activities,Water Sports,",Puget Sound Islands,Seattle
Pukara de Quitor Ruins,,Pukara de Quitor Ruins,San Pedro de Atacama
Pulau Ubin,"Outdoor Activities,",Pulau Ubin,Singapore
Punta del Este,,Punta del Este,Montevideo
Pura Besakih,,Pura Besakih,Bali
Pura Kehen,,Pura Kehen,Bali
Puuhonua O Honaunau National Historical Park,,Puuhonua O Honaunau National Historical Park,Big Island
Puy du Fou,,Puy du Fou,Loire Valley
Pyramids of Giza,,Pyramids of Giza,Cairo
Pythagoras Cave,,Pythagoras Cave,Samos
Qasr Al Alam Royal Palace,,Qasr Al Alam Royal Palace,Muscat
Qin Terracotta Army Museum,"Museum,",Qin Terracotta Army Museum,Xi An
Queen Elizabeth II Botanic Park,,Queen Elizabeth II Botanic Park,Grand Cayman
Queen Elizabeth Park,,Queen Elizabeth Park,Vancouver
Queen Sirikit Botanic Garden,,Queen Sirikit Botanic Garden,Chiang Mai
Queen Victoria Market,,Queen Victoria Market,Melbourne
Quimper,"Museum,",Quimper,Brittany
Quirimbas Islands,"National Park,Water Sports,World Heritage Site,",Quirimbas Islands,Pemba and Northern Mozambique
Qutub Minar,,Qutub Minar,Delhi
Radio City Music Hall,,Radio City Music Hall,New York City
Raffles Hotel,"Museum,",Raffles Hotel,Singapore
Rain Forest Adventures,,Rain Forest Adventures,Ocho Rios
Ramses II Statue,"Museum,",Ramses II Statue,Cairo
Randall Museum,"Museum,",Randall Museum,San Francisco
Rantanakiri,,Rantanakiri,Phnom Penh
Rashtrapati Bhavan,,Rashtrapati Bhavan,Delhi
Ratanga Junction,,Ratanga Junction,Cape Town
Reach Falls,,Reach Falls,Port Antonio
Red Fort,,Red Fort,Delhi
Red Light District (De Wallen),,Red Light District (De Wallen),Amsterdam
Red Rock Canyon,"Outdoor Activities,",Red Rock Canyon,Las Vegas
Red Square,,Red Square,Moscow
Redonda,,Redonda,Antigua
Redwood National and State Park,"Outdoor Activities,Water Sports,",Redwood National and State Park,San Francisco
Reed Flute Cave,,Reed Flute Cave,Guilin
Reef HQ Aquarium,,Reef HQ Aquarium,Townsville
Reeperbahn,"Museum,",Reeperbahn,Hamburg
Reichstag,,Reichstag,Berlin
Reims,"Museum,",Reims,Champagne Country
Reina Sofia National Art Centre Museum,"Museum,",Reina Sofia National Art Centre Museum,Madrid
Rembrandt House,"Museum,",Rembrandt House,Amsterdam
Reserva Nacional Los Flamencos,"Outdoor Activities,",Reserva Nacional Los Flamencos,San Pedro de Atacama
Residence of Princess Ljubica,"Museum,World Heritage Site,",Residence of Princess Ljubica,Belgrade
Rhode Island School of Design Museum,"Museum,",Rhode Island School of Design Museum,Providence
Rhodes Beaches,,Rhodes Beaches,Rhodes
Rhodes Hall Plantation,,Rhodes Hall Plantation,Negril
Rhodes Old Town,"World Heritage Site,",Rhodes Old Town,Rhodes
Rialto Bridge,,Rialto Bridge,Venice
Richards Bay,"Water Sports,",Richards Bay,Durban
Richmond National Battlefield Park,,Richmond National Battlefield Park,Richmond
Riga Castle,"Museum,",Riga Castle,Riga
Rijeka,,Rijeka,Zagreb
Rila Monastery,"Museum,World Heritage Site,",Rila Monastery,Mountains
Rio Grande,"Water Sports,",Rio Grande,Port Antonio
Ripleys Believe it or Not! Museum,"Museum,",Ripleys Believe it or Not! Museum,San Francisco
River Dolphins,"Water Sports,",River Dolphins,Phnom Penh
Riversleigh,"National Park,World Heritage Site,",Riversleigh,Cairns
Riverwalk,"Museum,",Riverwalk,San Antonio
Riverway,,Riverway,Townsville
Rizal Park,"Museum,",Rizal Park,Manila
Robben Island,"Museum,",Robben Island,Cape Town
Rocamadour,"Sky Activities,",Rocamadour,Dordogne and Lot
Rocinha,,Rocinha,Rio de Janeiro
